Rank,Validator Name,Validator Vote Account,Active Stake (SOL),Percentage of total stake (%),Cumulative Stake (%),Issuance Rewards Commission (%),Jito MEV Commission Rate (%),Issuance Revenue (SOL),Issuance Revenue as % of Total Revenue (%),Jito MEV Revenue (SOL),Jito MEV Revenue as % of Total Revenue (%),Block Rewards Revenue (SOL),Block Rewards Revenue as % of Total Revenue (%),Total Revenue (SOL),Server Cost (SOL),Voting Cost (SOL),Profit(SOL),Profitable
1,Helius,he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk,13356080.98,0.03554,0.036,0,0,0,0,0,0,174465.76,1,174465.76,133.33,365,173967.42,YES
2,Binance Staking,3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,11506125.17,0.03062,0.066,0.08,0.1,63261.34,0.2758,15821.1,0.069,150300.44,0.6552,229382.88,133.33,365,228884.55,YES
3,Coinbase 02,6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,10022736.57,0.02667,0.093,0.08,0.08,55105.59,0.2796,11025.13,0.0559,130923.46,0.6644,197054.18,133.33,365,196555.85,YES
4,Galaxy,CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB,8975929.5,0.02389,0.117,0.05,0.25,30843.86,0.1724,30855.1,0.1724,117249.39,0.6552,178948.35,133.33,365,178450.02,YES
5,Ledger by Figment,26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,8567673.97,0.0228,0.14,0.07,0.07,41217.37,0.2554,8246.48,0.0511,111916.49,0.6935,161380.34,133.33,365,160882.01,YES
6,Figment,CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,7034083.8,0.01872,0.158,0.07,0.07,33839.58,0.2554,6770.38,0.0511,91883.75,0.6935,132493.7,133.33,365,131995.37,YES
7,Kiln1,DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m,6611186.88,0.01759,0.176,0.05,1,22717.93,0.1136,90904.84,0.4546,86359.59,0.4318,199982.36,133.33,365,199484.03,YES
8,SOL Community,3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q,5948181.69,0.01583,0.192,0.05,0.1,20439.65,0.1923,8178.84,0.0769,77698.99,0.7308,106317.49,133.33,365,105819.15,YES
9,,G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,5326708.57,0.01418,0.206,1,1,366081.9,0.7194,73243.06,0.1439,69580.91,0.1367,508905.87,133.33,365,508407.54,YES
10,Everstake,9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,5319994,0.01416,0.22,0.07,1,25593.43,0.1521,73150.73,0.4348,69493.2,0.4131,168237.36,133.33,365,167739.03,YES
11,,3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj,5195064.91,0.01383,0.234,1,1,357034.6,0.7194,71432.94,0.1439,67861.29,0.1367,496328.83,133.33,365,495830.5,YES
12,,AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,5154411.06,0.01372,0.248,1,1,354240.63,0.7194,70873.94,0.1439,67330.25,0.1367,492444.82,133.33,365,491946.49,YES
13,P2P.org,FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,5045252.18,0.01343,0.261,0.07,0.08,24271.7,0.2536,5549.84,0.058,65904.34,0.6885,95725.88,133.33,365,95227.55,YES
14,,H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst,4857389.82,0.01293,0.274,1,1,333827.63,0.7194,66789.86,0.1439,63450.36,0.1367,464067.85,133.33,365,463569.52,YES
15,Staking Facilities | MEV 🔥,DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,4744027.89,0.01262,0.287,0.05,0.08,16301.84,0.1953,5218.49,0.0625,61969.56,0.7422,83489.88,133.33,365,82991.55,YES
16,,XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho,4606743.88,0.01226,0.299,0.08,0.08,25328.14,0.2796,5067.47,0.0559,60176.26,0.6644,90571.88,133.33,365,90073.55,YES
17,Kraken,KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag,4601126.67,0.01224,0.311,1,1,316215.76,0.7194,63266.2,0.1439,60102.89,0.1367,439584.85,133.33,365,439086.52,YES
18,,HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE,4399704.28,0.01171,0.323,0.08,0.08,24189.83,0.2796,4839.73,0.0559,57471.78,0.6644,86501.34,133.33,365,86003,YES
19,,HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc,4349998.48,0.01158,0.334,1,1,298956.8,0.7194,59813.15,0.1439,56822.49,0.1367,415592.43,133.33,365,415094.1,YES
20,Jupiter,CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb,4087989.79,0.01088,0.345,0,0,0,0,0,0,53399.96,1,53399.96,133.33,365,52901.63,YES
21,private,8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,3711230.43,0.00988,0.355,0,1,0,0,51029.99,0.5128,48478.49,0.4872,99508.48,133.33,365,99010.14,YES
